name,inat.rank.level,encoding
class,50,`.bt-c`
epifamily,32,`.bt-fz`
family,30,`.bt-f`
genus,20,`.bt-g`
infraclass,45,`.bt-ci`
infraorder,35,`.bt-oi`
kingdom,70,`.bt-k`
order,40,`.bt-o`
parvorder,34.5,`.bt-op`
phylum,60,`.bt-p`
species,10,`.bt-s`
subclass,47,`.bt-cs`
subfamily,27,`.bt-fs`
subgenus,15,`.bt-gs`
suborder,37,`.bt-os`
subphylum,57,`.bt-ps`
subspecies,3,`.bt-ss`
subtribe,24,`.bt-ts`
superclass,53,`.bt-cr`
superfamily,33,`.bt-fr`
superorder,43,`.bt-or`
tribe,25,`.bt-t`
